checkout_id,member_id,book_id,checkout_date,return_date,first_name,last_name,grade,neighborhood,membership_status,join_date,total_books,title,author,genre,pages,publication_year,publisher
9263,1047,517,2024-10-21,2024-11-07,Sara,Rashad,9,Heliopolis,Inactive,2024-06-25,16,Shadows on the Corniche,Hani Nagati,Mystery,338,2015,Delta House
9340,1072,513,2025-08-24,2025-09-01,Seif,Zaki,9,Zamalek,Active,2025-10-21,14,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books
9231,1053,523,2024-02-04,2024-02-16,Adam,Shafik,9,Heliopolis,Active,2024-01-03,5,Footsteps in the Dust,Laila Shokry,Historical,276,2018,Oasis Books
9129,1032,513,2025-06-21,2025-06-29,Nada,Zaki,7,Nasr City,Active,2025-10-19,6,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books
9370,1079,511,2025-11-11,2025-12-03,Rana,Osman,8,Shubra,Active,2024-10-27,10,Winter in Alexandria,Farida Anwar,Historical,117,2016,Nile Press
9082,1010,528,2025-11-11,2025-11-18,Nour,Nabil,6,Maadi,Active,2024-05-15,18,The Glass Beehive,Mona Kholoussy,Nature,114,2010,Delta House
9238,1057,513,2024-03-28,2024-04-08,Ahmed,Fahmy,8,Heliopolis,Active,2024-01-12,10,Circuits for Beginners,Galal Mounir,Science,294,2021,Oasis Books
9012,1010,501,2025-02-17,Unknown,Nour,Nabil,6,Maadi,Active,2024-05-15,18,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press
9127,1024,506,2025-06-13,Unknown,Youssef,Hegazy,8,Nasr City,Inactive,2024-01-04,17,The Paper Boat Club,Aya Hafez,Friendship,183,2017,Nile Press
9020,1016,506,2024-04-15,2024-05-04,Dina,Rashad,8,Maadi,Active,2023-04-24,7,The Paper Boat Club,Aya Hafez,Friendship,183,2017,Nile Press
9208,1044,525,2024-07-10,2024-08-01,Sherif,Saleh,7,Heliopolis,Active,2024-02-19,21,Storms and Sailboats,Mahmoud Rafei,Adventure,297,2015,Oasis Books
9319,1065,515,2025-02-10,2025-02-21,Adam,Fahmy,6,Zamalek,Active,2025-07-12,18,Songs of the Oasis,Hoda Bakry,Poetry,316,2022,Cairo Young Readers
9097,1018,501,2025-10-05,2025-10-14,Ahmed,Shafik,9,Maadi,Active,2023-01-28,17,The Silver Kite,Amina Darwish,Adventure,128,2017,Nile Press
